emotion;text;rand
sadness;watching am they had a programme on the starving refugees their plight was a source of sadness for me;0.20670717
anger;i want to not feel aggravated when someone tells me that they are getting mixed signals from the person theyre dating;0.210883242
anger;i am feeling pretty frustrated and negative;0.189525398
sadness;i know that i will continue writing on top of whatever new job i might choose or stumble upon but i truly hope that i will be able to write a story that might inspire or help someone in small way someday and i will keep this thought in mind whenever i do feel discouraged or frazzled;0.625466585
fear;i feel uncomfortable sometimes heartache sometimes because of u make me feel like i cannot believe in u;0.806172876
joy;i can feel the cool moist wind smell the damp earth and hear the raindrops falling;0.221355159
joy;im certain that ill feel differently as soon as they find out my grades of course that will not be a pleasant time;0.876795565
joy;i occasionally slip into one of my usual stews of frustration all fueled by attachments non acceptance and most of all ego of course the banes of serenity in this human body but usually i feel satisfied and alive;0.31311547
disgust;I realised that someone was insidiously attempting to shit me off. I was disgusted with him for doing so, because I afforded him with no excuse to do so.;0.216588606
surprise;i wasnt feeling dazed in disbelief i was certainly angry;0.298203782
joy;i feel assured at last;0.963376311
disgust;There is a girl at my work that doesn't take care much of her hygiene she comes always with her hair oiled, a not very agreable smell, and a bad appearance. Beside this she tries to be nice.;0.560000383
sadness;i feel a little neglectful of my blog among other things;0.318323206
joy;i feel so glad to be able to spend time in these places i hope these convey something of their mixture of ancient presence amp fragile beauty;0.895884195
anger;i did not feel bothered at all beyond a faint relief that we don t practice that a href http www;0.645742872
fear;i feel scared and i feel daunted and i feel unsure in the face of all that i dream of accomplishing but i also feel for the first time in a long time a strength that comes from way down deep inside of me;0.684982315
sadness;i always feel fake when i m happy like it s not the real me;0.737253974
fear;i feel so nervous about it oppssss;0.548990145
joy;i finally feel like im doing something worthwhile here;0.203234185
fear;i thought id feel uncomfortable about my parents knowing about my blog but it doesnt i really love it;0.861303542
joy;i was feeling the divine providence watching over the work herein expressed;0.590114524
fear;i remember feeling after the third bong hit that i was being pressured into this;0.454255293
joy;i got him the nyko perfect shot i surrendered and really feel he is intelligent than me because now he has a companion for his shooting a href http www;0.149480443
fear;i feel very frightened and alone by this;0.524553513
disgust;Seeing maltreated, dead animals.;0.516311469
disgust;Negative statement concerning me of a friend before strangers.;0.149892284
anger;i am i felt the blood rushing and now im feeling angry and really annoyed and all the emotions mixed and went mumbo jumbo like a roller coaster ride;0.945663901
surprise;i feel it is ludicrous that a doctor could be sued provide non life saving elective procedures against their conscience;0.456155172
sadness;i feel totally foolish for trying to talk her out of a cause she felt passionately about;0.811613248
anger;i hear about my friends going ons and the drama of their lives i feel so little and petty;0.438430626
joy;ive written bill gates about this and asked for d and touchable screens so you can feel the fabric and he has assured me that his engineers are working on it;0.812636348
disgust;I feel disgusted with the bootlickers, with helpless people.;0.588641835
sadness;i didnt really feel as emotional as i thought i would;0.847978592
fear;im only barely starting to feel uncomfortable;0.041700533
joy;i feel we have a keen eye for detail;0.257688977
anger;i was disgusted to discover that my girlfriend of few weeks was already fooling around with another guy i was disappointed as the guy was a rogue and i respected my girlfriend;0.254574929
anger;im still feeling a little annoyed about it all;0.138118752
surprise;i just feel overwhelmed and like any decision i make screws us over;0.771388714
sadness;i think that s something that could be worked on the school saying you re a trojan even though you ll be joining us in january it does feel a little bit awkward because you don t feel like an official member yet;0.330771122
disgust;When a close friend wilfully cheated me.;0.155175092
anger;i feel someone or something poses a threat to her and that i dont get angry with her;0.257919093
surprise;i have debuted for a long time there are still times where i feel amazed when i see a artiste;0.632275788
anger;i got to school feeling damn grouchy with my upset stomach to find out that my physics notes worksheet went missing and that i left my english compo at home;0.762837015
joy;i am still a bit of a pagan in that respect in that i feel everything has something of the divine in it and god is not separate from the earth but part of it as are we;0.655371617
fear;i start to cry for no reason and feel utterly helpless and hopeless;0.47231411
joy;im still waiting for my new fairy lights to be delivered but i couldnt wait to get the tree up and make the house feel a little more festive;0.733262752
disgust;I was looking for an object when I came across a rotten corpse of a rat.;0.608062768
disgust;When I visited a creche. The conditions weren't too precarious but the children were in conditions of physical and emotional penury.;0.77126929
anger;i feel so stubborn so stupid and everything that could just describe me right now;0.263553759
disgust;When the N.Z. rugby union announced that they would proceed with a rugby tour of South Africa.;0.821771783
fear;i feel a bit nervous anxious i don t know how to describe it actually;0.619879378
surprise;i feel amazing after talking on compassion pit;0.6580599
fear;i dunno i just feel scared to walk in after awhile it got ok but when i walk into this room w poorly erected brick walls separating the room into xm partitions;0.387996932
surprise;i feel weird about posting a salad recipe;0.294558322
joy;i am and what i feel and think particularly about this issue i also come from a family of strong men;0.455309784
surprise;i felt and still feel overwhelmed by the idea of giving birth and feel very lost;0.930548165
joy;i like to spend my days off going to the us and visiting tractor supply or price chopper for wonderfully american food or if im feeling especially adventurous i go to burlington or other towns in vermont for a lookaround and a little shopping;0.550755107
anger;i feel like he is just being a stubborn prick and that its easier for him to do that than to be with me;0.867849861
anger;i also hate how you feel the need to flee from your problems and refuse to speak to anyone who has wronged you;0.238744006
anger;i find myself feeling annoyed;0.883710979
anger;i do feel a bit obnoxious it is definately the weather;0.315836208
surprise;i could almost feel the shocked gazes of his band mates at the fact that he would surely notice me there and no one not especially i could imagine what reaction we would get;0.016123877
fear;i completely sympathize with the wish to feel stability and scared of change but see what he has is definitely not stability;0.534716535
anger;i never have it feels insincere and a little nosy you get a hint that something might be wrong and want to jump in and get all the details;0.73757208
sadness;i know is i feel ashamed;0.947927951
fear;i felt like no one could ever understand what was happening or that they would tell me to grow up or feel completely uncomfortable was about one hundred percent of my mind set;0.583614542
disgust;They asked me to throw the rubbish into a dustbin which had some awful liquid accumulated at the bottom.;0.421144211
sadness;i feel inhibited in quoting myself;0.075183958
anger;i feel so bluh and bitter afterward;0.114519904
sadness;i have to feel depressed about;0.642187492
disgust;When I was a child, one day while playing, I fell up to my waist in mud.;0.986047676
sadness;id feel a bit discouraged languish in my pile of forgotten wips until the example of my failure was too much i wouldnt open a word document for ages;0.485160824
