unnamed: 0,abbr,fullform
0,slag,meaning
1,#1,number one
2,$,dollar
3,$_$,has money
4,%),drunk
5,&,and
6,&apos;s,wrongly displayed 's
7,><,frustration
8,">,<",angry
9,>.>,suspicious
10,>.<,frustrated
11,>//<,embarrassed
12,>3,evil but happy
13,>:(,angry
14,>:),evil grin
15,>:d,scheming
16,>:d<,hug
17,>:o,angry
18,>o<,yelling
19,>_>,looking left
20,>_<,frustrated
21,&hearts;,html code for a heart
22,<#,misspelling of <3
23,<>,not equal
24,<><,fish
25,<.<,shifty look
26,</3,broken hearted
27,<2,not quite love 
28,<3,love 
29,<333,multiple hearts
30,<3u,love you
31,<4,more than love 
32,<b,hate
33,<g>,grin
34,<_<,sarcasm
35,'em,them
36,(!),sarcasm
37,('_'),emoticon representing boredom
38,(.)(.),female breasts
39,-8,musical note 
40,(:,happy
41,(a),angel 
42,(h),cool dude emoticon 
43,(k),kiss 
44,(l),love heart 
45,(n),thumbs down 
46,(s),seriously
47,(u),heartbroken
48,(y),thumbs up 
49,(yn),fingers crossed 
50,(^^^),shark
51,(_8^(i),homer simpson
52,({)(}),two people hugging
53,*,indicating a spelling correction
54,*$,starbucks
55,*$$,starbucks
56,*<:-),clown
57,*.*,every file on a computer
58,*g*,grin
59,*hug*,a cyberhug
60,*o*,confused
61,*s*,salute
62,*\o/*,cheerleader
63,*_*,in love
64,1,partner 
65,+rep,boost reputation
66,+_+,dead man
67,-.-,annoyance
68,-_-,annoyed
69,.-.,sad
70,...,silence
71,.biz,top level domain for business
72,.co,alternative to .com
73,.com,commerce
74,.edu,education
75,.gov,governments
76,.mil,military
77,.net,network providers
78,.org,non-profit organizations
79,._.,emoticon representing apathy
80,/.\,shy
81,//,love
82,/:),flirtation 
83,/b/,4chan's random image board
84,/o/,happy
85,/o\,frustrated
86,/r/,requesting
87,/s,sarcasm
88,/thread,end of a thread on a forum
89,/w,whisper
90,0.0,surprise
91,0.o,raised eyebrow
92,0/,waving
93,0_0,shocked
94,10-1,radio code for 'receiving poorly'
95,10-2,radio code for 'receiving well'
96,10-4,understood ok
97,10char,padding where at least 10 characters are required
98,10q,thank you
99,10x,thanks
100,1aat,one at a time
101,1d,one direction 
102,1up,extra life in a game
103,2,to
104,0.22,a handgun
105,24/7,twenty-four hours a day seven days a week
106,2b,to be
107,2bh,to be honest
108,2day,today
109,2ez,too easy
110,2g,too good
111,2g2bt,too good to be true
112,2k10,2010
113,2k4u,to cool for you
114,2k9,2009
115,2l8,too late
116,2m,tomorrow
117,2mi,too much information
118,2mm,tomorrow
119,2moro,tomorrow
120,2moz,tomorrow
121,2mro,tomorrow
122,2mrw,tomorrow
123,2nite,tonight
124,2nyt,tonight
125,2u,to you
126,2u2,to you too
127,3>,hate
128,30stm,30 seconds to mars
129,3dg,three days grace 
130,3g,third generation mobile phone network
131,3q,thank you
132,4/20,april 20th
133,401k,retirement investment plan
134,0.44,.44 magnum
135,4chan,internet message
136,4col,for crying out loud
137,4E+04,forever
138,4eva,forever
139,4ever,forever
140,4g,4th generation
141,4get,forget
142,4gm,forgive me
143,4m,forum
