emo;text
anger;@topkaeya I know but it's still weird how we have so many examples in Genshin versus just one and it's at least...justified in HSR?
sadness;Like fuck bro when robin released in hsr it was just constant headaches over the most retarded shit i had to do this I dont hate lesbian people but god some mfs on this app are so insufferable https://t.co/GYIlU3YFAo
love;@topkaeya I think that's what makes HSR so different aside from Firefly there hasn't been a lot of clearly Waifu who simps for you characters towards the Trailblazer and Firefly feels like the exception cuz It's implied we had a deep relationship with them before we lost those memories.
joy;@rabbitbunnny @archynara I always kind of assumed the abyss element IS quantum given the colors and like. Thematic similarity (granted my only knowledge of quantum is from playing. A tiny bit of hsr)
love;Feikong and Tingkong.. My two favourite ships from HSR.... Hhhhh 
sadness;@cupidparasite i can imagine ... don't look at my builds btw i have no idea how to build in hsr.
love;@eidolonartt Oh I love this
anger;//some universes I have in mind are Pressure maybe Doors HSR Little Nightmares and maybe Hollow Knight :]
fear;@wolfgrimmer511 I'm so torn on quitting this or ZZZ. I cannot play 5 gachas. Hi3 hsr and genshin I have so much investment in so it's hard to let go. Wuthering waves is just too fucking gorgeous
joy;@pleniluneskies FUCK YEAH WE AREE
joy;@avenqiu OMGG WE DO???
joy;@Pixyel_ IVE NEVER BEEN SO HYPEDDDD
fear;@Rhoady2000 @Painers999 Tell that to Hsr players. It's a ranking system used to see how often and how easily certain teams can clear at a certain amount of investment Less investment = better More investment = worse
sadness;@iAstralWarrior i don't play HSR anymore what's wrong with that picture
surprise;@avenqiu That sounds great what game is it? What HSR stands for? https://t.co/FEyliEH7CJ
anger;@fushiguroho hsr tryna make it up to me now after making me mad
love;@kuronxx_ @Tman55555333 @ennu_1 I still could bare with Hsr fanservice on Firefly since they build up their relationship over the story and it's the first time Trailblazer has had that kind of treatment. For Rover seems like every char was into him/her.
surprise;just realized this makes me sound like china fan 1000 I'm not I just think it's funny especially because all the women that are from the china place in hsr wear the exact same damn clothing
fear;I was sent this report on I 40 about 10 to 30 miles from were I stopped to ride out the storm had I continued like I almost did I would have been in this scary https://t.co/HSA2JyCynP
love;it's not yuri bait but it's very likely yuri fetishization which honestly Who cares. I fetishize yuri too. Also I love check out another Chinese character hsr was correct for this
joy;It's true at some point
anger;ugh want 2 download hsr wuwa and genshin all in one time but 128gb curse
sadness;@wolfgrimmer511 @Soral1s @Narushioww I am a player of the 3 GI ZZZ HSR and I gave Wuwa (lvl70) a chance but in the end I got bored there is not a single charismatic character and for the memory to date only Verina and for Memes
surprise;@mikuyouforreals @SilvieWolfie ZZZ has like 2 Chinese character HSR has like 2 dozens Even for a hoyo game this is excessive
anger;@wisanyanya He's someone who thinks hsr is good and hates on genshin ba and zzz without playing them #nooticing
joy;playing golds and gears (hsr) for the first time: here s a dice you can change any of its faces to zooble. there s screeble branching paths. do you wanna cheat on your tungle? keep your brainrot level at 11 or else
fear;sorry i forgot been so busy w/ exams that it slipped off from my mind. ending it when i wake up !
love;"@TimelyZhuming for me the ones who really drew me in were jing yuan blade and kafka but stellaron hunters and the zhuming family are the only reasons that i have the motivation to keep playing hsr &lt;/3"
joy;me using my own hsr accounts to get the return event jades. only one of these accounts was good and it kind of no longer is bc all i had was blade (love u blade they need to buff you)
fear;I ALWAYS FORGET ABT IT BUT here's my hsr in case anyone wants to add me !! 620182588 https://t.co/DsSKQZTLPk
sadness;@breadunderscore TCG has no autoplay button thus can't be HSR
sadness;currrenly they are rue only thijg i look foreard to in life . a fuckigk hsr chsracters. my life is so sad i need to get a grip https://t.co/KpWBAG3lCT
surprise;@OnKnockers @JulieChangRE You ll see self driving Waymos long before you ll see HSR.
joy;ONLY ONE MORE DAY Tomorrow your mission will be given I do hope you accept it~ ️Our store opens TOMORROW! 2pm Pacific Time everything will be open so make sure to set your alarms~ https://t.co/oJw8lsNcfi
love;zenless zone zero has been relatively nicer to me than HSR was when i was starting so far... https://t.co/au9GkpLKtB
love;I'm really happy it's Archer. I hope HSR not gonna do something like what Genshin do with Aloy in the past. I'm trying to believe in you #HonkaiStarRail
surprise;@oversaltedcat oh wooow o.o amazing work! As a Sonic and HSR fan I really like the designs ^^ (If I would try to draw Gallagher in Sonic style I would probably die because of thinking too hard on how I would design him in this style )
love;@mellykyay I have jinhsi her weapon zhe and jiyan on my other acc I also wish my luck would go to hsr
fear;@ahganielle Are u okay? ):
joy;@tifatopea IS IT THE ACHESWAN ONE Hiii tune in to hsr its so peak
sadness;Can someone just tell me everything i need to know about boothill because i do NOT want to play hsr under any circumstances but I would do anything for this stupid little man 
anger;Tourist is such an icky word which i only see losers use You're a tourist and it's just a casual enjoyer Tourist repellant and it's just a game with heavy gooner bait Also wtf does the hsr one even mean?? Hyv is a chinese company do they think it's japanese?? ???
sadness;How does this come with me take the journey thing in HSR work man I just wanna get some Jades to pull Feixiao https://t.co/nB6k1iQGL5
love;Got a pretty good start to the game too with the signed Akipo Enriko and Miichan cards Is this to make up for my shitty luck in HSR https://t.co/KoswkFsVrG
love;@formulamurmansk #TRUST WE WILL GET UOU ONE
anger;9 aaaaaa WHY CANT IT JUST BE DRIP MARKETING DAY TODAYYY https://t.co/3bumefpXrB
love;@GojirasBitch He s beautiful papa
surprise;WE R SO BACK OH MY GOD
anger;bro i just hit rank 30 on hsr but i cant claim my rewards for ranking up because of a stupid fucking companion quest like bro idgaf leave me alone
joy;@formulamurmansk UR FREEE FROM THE CURSE!!!
love;@The_Last_Geth he s so pookie
fear;@aaltorover @wutheringshores i lost interest in both gi and hsr long long ago it's just a silly joke why are u so pressed
fear;tried to sleep but just remembered the time i accidenally sent a picture of shirtless boothill from hsr to my school gc
love;@dailyvdwlt I'm thinking it's going to be a weekly thing so it won't be overwhelming for me. We'll see 
love;@RevBaskerville Nah Bronya is fine in Hsr young or old she is still my wife but I actually want the honkai impact one Seele is meh in hsr but in Honkai I'll protect her with my heart I wish she was the one in hsr
sadness;@meguminiis hes so fine bro but i can t play hsr because of the playstyle.. play for me shay https://t.co/MsB3panP8t
joy;And it was last time when I was so hyped and excited for a new content in hsr I wanna feel it again idk how people finding new hyperfixations fast mine stays for a long time..
joy;There's a puzzle in HSR called pathfinder which is just the basic move in a straight line until you hit something ice puzzle but there are NPCs who talk about the puzzle as an in universe game that people play And it really makes it sound like they're talking about the TTRPG
love;Saying that when HSR is full of ToT references + is only an extension of a lesbian game lmao https://t.co/5ZnlCIabCK
love;@Waifulover690 I'd be cool with Bronya and seele expys(young not flops like hsr)
love;I once designed a cute lolita kimono for lorcan but lorcannya bukan lorcan versi hsr. I will give that design for this
joy;Quite happy with how my pulls went. I'll be editing the video up this week along with my PF run in HSR. I've got Shorekeeper S0R1 now and have had such a blast playing with her. SHOREKEEPER IS SO FUN HOLY FUCK. Reset tomorrow in all four of my gachas... I'm so not ready. xD
surprise;@HourlyWeltYang //hsr leak The voice line count is for non main story stuff homdgcat said here is no main story voice line count shown in beta
surprise;@saweepy @ThomaBrowne when kaan was over he was playing hsr with audio and i was doing sth else and i asked him what are you doing that involves sampo? and he said THATS ARGENTI FNFNFNRMTNTBGN
anger;It's the same with Dan Feng. In essence they're the same. Good intentions and not wanting nor even expecting to bring harm upon anyone... but choosing questionable methods that in one way or another do end up bringing such harm to their people.
sadness;@caeyaoi yeah honestly over time especially seeing what happened to blade jing yuan and ilheng from hsr who were only relevant for two patches then fell off.. i prefer men being supports now like look at kazuha and aventurine for example who are still strong and on demand
